"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,score_symptoms_combined,total_raw_score,symptom_awareness_score,awareness_score
Neurologist,No,Immediately,yes,yes,yes,yes,41-60,Female,other,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,1,1,0,1,0,0,0,0,0,0,12,30,4.8,2.59
Physician,No,Within a week,no,no,maybe,no,15-25,Male,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,no,maybe,60+,Male,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,1.6,0.34
Yes,No,Within a day,no,no,no,no,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,1,0,0,2,0,0,0,0,0,0,0,4,7,1.6,0.6
Orthopedic,No,Immediately,maybe,no,maybe,no,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
Orthopedic,Yes,Within a day,yes,yes,yes,yes,41-60,Female,undergraduate,not_specified,doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,1,1,1,0,1,0,2,3,3,4,0,21,66,8.4,5.69
Neurologist,No,Within a day,no,maybe,no,maybe,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,1,0,0,2,0,0,0,0,0,0,0,4,19,1.6,1.64
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",other,2,1,1,1,1,0,1,0,2,3,3,3,0,21,69,8.4,5.95
Yes,Yes,Within a day,yes,yes,yes,yes,60+,Female,graduate,not_specified,emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,1,1,1,0,1,4,2,3,3,4,0,21,86,8.4,7.41
Physician,No,Within a week,no,no,no,no,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,no,no,no,no,26-40,Female,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Orthopedic,Yes,Within a week,no,no,no,no,15-25,Female,high school,"2,00,001 - 4,00,000",unaware,after_few_days_(2-3days_or_week),doctor_or_specialist,headache,other,no_response,0,1,0,0,0,2,0,0,0,0,0,0,0,4,9,1.6,0.78
Orthopedic,No,Within a week,maybe,maybe,maybe,maybe,15-25,Male,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.8,0.17
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",hospital,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,4,1,1,1,1,0,1,3,2,3,3,4,0,21,93,8.4,8.02
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,not_specified,doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,1,1,1,0,1,0,2,3,3,3,0,21,69,8.4,5.95
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,no,41-60,Male,high school,"4,00,001 - 6,00,000",hospital,unaware,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,2,0,3,0,3,0,0,0,4,34,1.6,2.93
Orthopedic,Yes,Within a week,yes,yes,yes,yes,41-60,Female,high school,not_specified,emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",no_response,0,1,0,1,1,0,1,4,2,3,3,3,0,21,80,8.4,6.9
Orthopedic,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,high school,"6,00,001 - 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",keep_the_person_calm,4,1,1,1,1,0,1,0,2,3,3,4,0,21,78,8.4,6.72
Neurologist,No,Within a day,no,no,no,no,26-40,Male,high school,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,1,0,0,2,0,0,0,0,0,0,0,4,19,1.6,1.64
Physician,Yes,Within a week,yes,yes,yes,yes,41-60,Female,high school,not_specified,emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",no_response,2,1,0,1,1,0,1,4,2,3,2,3,0,18,83,7.2,7.16
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,maybe,no,maybe,maybe,60+,Female,other,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,1,0,0,1,0,0,0,0,0,0,0,2,5,0.8,0.43
Physician,No,Within a day,no,maybe,no,maybe,15-25,Male,undergraduate,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,1,0,0,2,0,0,0,0,0,0,0,4,13,1.6,1.12
Orthopedic,No,Within a day,maybe,maybe,maybe,maybe,15-25,Male,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,1,0,0,1,0,0,0,0,0,0,0,2,5,0.8,0.43
Physician,No,Within a day,no,no,no,no,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,1,0,0,2,0,0,0,0,0,0,0,4,13,1.6,1.12
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Female,high school,not_specified,emergency_services,no_response,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,2,1,1,0,1,4,0,3,3,4,0,21,85,8.4,7.33
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Male,graduate,"2,00,001 - 4,00,000",family/friend,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,3,0,0,0,2,23,0.8,1.98
Orthopedic,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,not_specified,emergency_services,immediately,other,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",keep_the_person_calm,0,1,2,1,1,0,1,4,2,0,3,4,0,21,74,8.4,6.38
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,not_specified,family/friend,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",avoid_food_or_drink_sleep,4,1,2,1,1,0,1,0,2,3,3,4,0,21,81,8.4,6.98
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,1,0,0,1,0,0,0,0,0,0,0,2,11,0.8,0.95
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,no,no,maybe,no,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,unaware,0,0,1,0,0,1,0,0,0,0,0,0,0,2,5,0.8,0.43
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,26-40,Male,high school,"2,00,001 - 4,00,000",family/friend,after_checkup _or_medical_tests,hospital_or_medical_centre,no_response,Unaware,no_response,4,0,1,0,0,1,0,0,0,3,0,0,0,2,32,0.8,2.76
Orthopedic,Yes,Within a day,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",call_emergency_services,0,1,1,1,1,0,1,0,2,3,3,2,3,21,66,8.4,5.69
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",emergency_services,immediately,emergency_services,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,1,1,1,0,1,4,2,4,2,4,0,18,94,7.2,8.1
Orthopedic,Yes,Within a day,yes,yes,yes,yes,60+,Female,speciality,not_specified,hospital,immediately,other,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, age_or_family_history_of_stroke_gender",no_response,0,1,1,1,1,0,1,3,2,0,2,3,0,18,60,7.2,5.17
Neurologist,No,Within a week,maybe,no,no,no,15-25,Male,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,0,0,0,2,0,0,0,0,0,0,0,4,16,1.6,1.38
Physician,No,Immediately,maybe,maybe,maybe,maybe,60+,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,2,0,0,1,0,0,0,0,0,0,0,2,14,0.8,1.21
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Male,high school,"2,00,001 - 4,00,000",hospital,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,3,0,0,0,0,0,2,23,0.8,1.98
Yes,No,Within a day,no,no,no,no,60+,Male,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,1,0,0,2,0,0,0,0,0,0,0,4,7,1.6,0.6
Physician,Yes,Immediately,yes,yes,yes,yes,60+,Male,graduate,not_specified,hospital,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",keep_the_person_calm,2,1,2,1,1,0,1,3,2,3,3,3,0,21,87,8.4,7.5
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a week,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",keep_the_person_calm,0,1,0,1,1,0,1,0,2,3,3,3,0,21,60,8.4,5.17
Orthopedic,Yes,Within a day,yes,yes,yes,yes,41-60,Female,undergraduate,not_specified,doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,1,1,1,0,1,0,2,3,3,4,0,21,66,8.4,5.69
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,not_specified,doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",no_response,4,1,1,1,1,0,1,0,2,3,3,3,0,21,75,8.4,6.47
Orthopedic,Yes,Within a week,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,0,1,1,0,1,0,2,3,3,4,0,21,63,8.4,5.43
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,0,0,0,1,0,0,0,0,0,0,0,2,14,0.8,1.21
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Female,graduate,not_specified,doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,1,1,1,0,1,0,2,3,3,4,0,21,72,8.4,6.21
Physician,No,Within a day,no,no,no,no,15-25,Female,undergraduate,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,1,0,0,2,0,0,0,0,0,0,0,4,13,1.6,1.12
"ENT (Ear, Nose, and Throat specialist)",No,I would not consult a specialist,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,1.6,0.34
Orthopedic,Yes,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",keep_the_person_calm,0,1,1,1,1,0,1,0,2,3,3,4,0,21,66,8.4,5.69
Neurologist,No,Within a day,maybe,no,no,no,41-60,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,1,0,0,2,0,0,0,0,0,0,0,4,19,1.6,1.64
Neurologist,Yes,Within a week,yes,yes,yes,yes,60+,Female,high school,not_specified,emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,4,1,0,1,1,0,1,4,2,3,3,4,0,21,95,8.4,8.19
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,"paralysis_or_weakness,dizziness",Unaware,no_response,2,1,2,1,1,0,1,0,0,0,1,0,0,15,32,6.0,2.76
Orthopedic,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",family/friend,immediately,doctor_or_specialist,"vision_problems,dizziness,headache",Unaware,seek_medical_help,0,1,2,1,1,0,1,0,2,0,1,0,0,15,36,6.0,3.1
Neurologist,Yes,Within a week,yes,yes,yes,yes,15-25,Male,undergraduate,not_specified,doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,vision_problems,diabetes_or_obesity,no_response,4,1,0,1,1,0,1,0,0,0,1,1,0,15,35,6.0,3.02
Physician,No,Immediately,no,maybe,no,no,26-40,Female,other,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,2,0,0,2,0,0,0,0,0,0,0,4,16,1.6,1.38
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
Physician,No,Immediately,no,no,no,yes,26-40,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,2,0,0,2,1,0,0,0,0,0,0,6,18,2.4,1.55
Neurologist,Yes,Within a day,no,maybe,maybe,maybe,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,1,0,0,1,0,0,0,0,0,0,0,2,22,0.8,1.9
Physician,No,Within a day,no,maybe,maybe,maybe,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,1,0,0,1,0,0,0,0,0,0,0,2,11,0.8,0.95
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,4,1,2,1,1,0,1,4,2,3,3,4,0,21,101,8.4,8.71
"ENT (Ear, Nose, and Throat specialist)",No,I would not consult a specialist,no,yes,no,no,15-25,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,1,2,0,0,0,0,0,0,0,9,9,3.6,0.78
Orthopedic,Yes,Immediately,yes,yes,yes,yes,15-25,Female,high school,"2,00,001 - 4,00,000",emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,2,1,1,0,1,4,2,3,3,4,0,21,89,8.4,7.67
Neurologist,Yes,Immediately,no,no,no,no,41-60,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,2,0,0,2,0,0,0,0,0,0,0,4,27,1.6,2.33
Neurologist,No,Within a day,maybe,maybe,no,maybe,60+,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,1,0,0,2,0,0,0,0,0,0,0,4,19,1.6,1.64
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,1,1,1,0,1,0,2,3,3,4,0,21,66,8.4,5.69
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"4,00,001 - 6,00,000",hospital,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,4,1,1,1,1,0,1,3,2,3,3,4,0,21,93,8.4,8.02
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",doctor,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,1,1,1,0,1,0,2,3,3,4,0,21,72,8.4,6.21
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,not_specified,emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",keep_the_person_calm,2,1,2,1,1,0,1,4,2,3,3,4,0,21,95,8.4,8.19
Physician,No,Other,no,no,no,no,15-25,Male,high school,"2,00,001 - 4,00,000",family/friend,immediately,hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,2,3,0,0,0,4,35,1.6,3.02
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",hospital,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",no_response,4,1,1,1,1,0,1,3,2,3,3,3,0,21,90,8.4,7.76
